,psdtheta_1,psdalpha_1,psdbeta_1,psdtheta_2,psdalpha_2,psdbeta_2,psdtheta_3,psdalpha_3,psdbeta_3,psdtheta_4,psdalpha_4,psdbeta_4,psdtheta_5,psdalpha_5,psdbeta_5,psdtheta_6,psdalpha_6,psdbeta_6,psdtheta_7,psdalpha_7,psdbeta_7,psdtheta_8,psdalpha_8,psdbeta_8,psdtheta_9,psdalpha_9,psdbeta_9,psdtheta_10,psdalpha_10,psdbeta_10,psdtheta_11,psdalpha_11,psdbeta_11,psdtheta_12,psdalpha_12,psdbeta_12,psdtheta_13,psdalpha_13,psdbeta_13,psdtheta_14,psdalpha_14,psdbeta_14
0,-0.067781446001733,-0.06802174552989909,-0.07152989264629835,-0.04936410549059038,-0.051109581576273766,-0.09176867903292271,-0.18140255770629216,-0.18315748943555105,-0.12283288782908489,-0.2515090288176802,-0.25068382613761603,-0.1542235549871894,-0.18620087970318186,-0.18138104372897917,-0.14573864974359943,0.061143248119729945,0.062161193269642784,0.05560791665986406,-0.06219567367701088,-0.06188518117584953,-0.05646094601750705,-0.05948483133095183,-0.059155611673834874,-0.056145181120746394,-0.2412019063391575,-0.23840025209700946,-0.2219300030981141,-0.20447800953695972,-0.2033855641000703,-0.17014290095652154,-0.09889648250123297,-0.09638627602034598,-0.07035234787678736,-0.07158593242316072,-0.07220119480761382,-0.07227964136389392,-0.11173438853473905,-0.11172049385177862,-0.10734699208820955,-0.11430078602036202,-0.11481028024721784,-0.11544805561446099
1,-0.07815175352441259,-0.078363848264881,-0.08165375319511992,-0.09508402264342856,-0.09660624576637054,-0.09995477679597127,-0.11014474476486294,-0.10760361909160239,-0.08289207392600689,-0.1803899582020144,-0.18027726193248025,-0.11552006669526399,-0.16025777216485568,-0.15621199692732837,-0.12900444457388832,-0.0877893286462845,-0.0880888908285991,-0.10369076045870583,-0.05949155553011695,-0.05935269075706593,-0.05781698348163961,-0.056737433634194256,-0.05660756140770408,-0.05491638477502734,-0.14737016402167563,-0.14911879449977272,-0.14239208684402832,-0.17699561335070094,-0.17589158789226111,-0.14941993494957412,-0.08532102900636553,-0.08363788981883179,-0.07447913307330399,-0.06356909245660847,-0.06352160936548555,-0.06321416372962989,-0.09618386531070025,-0.09366274701391021,-0.09840233810787412,-0.1011043763018352,-0.10164013443831461,-0.10090327859692878
2,-0.07707459897371641,-0.07726102183855107,-0.08038408787508608,-0.09179642287338259,-0.09331635323122268,-0.10889297220282726,-0.17586495766502028,-0.1699937358573621,-0.14083835062307504,-0.18426957447838832,-0.18406640502806462,-0.13941642144585176,-0.1644002710431321,-0.16022048802587377,-0.14840097346358735,-0.16034477575672232,-0.16123909333040576,-0.24964227505424968,-0.06030678348304089,-0.06011473004620607,-0.05994628364315798,-0.05816523857759521,-0.05793063918900827,-0.056218658747298686,-0.1837746584375328,-0.18689558535288647,-0.24392254857781645,-0.1825713076839966,-0.18145856108851266,-0.16979530332266232,-0.09299923829953567,-0.09085047513150088,-0.08382350532746136,-0.07504932629612521,-0.07500373337680526,-0.07470597500702003,-0.10104926275567379,-0.10105644962507608,-0.11044177685061479,-0.1003376004962945,-0.1008668128532414,-0.11499595098857962
3,-0.08488798065540429,-0.08507580672002606,-0.08818106242716657,-0.09630750641079652,-0.09780725721343154,-0.11310688994566459,-0.1969885037379903,-0.19166213521478387,-0.12496605610921534,-0.18713454312838826,-0.18690942686693468,-0.15375696817039822,-0.166261525961187,-0.16202825246417468,-0.1433539419438713,-0.19763668579123017,-0.19890208312885324,-0.22095466443568004,-0.06043576462411144,-0.060235870002240385,-0.05930892687612172,-0.05812705288465128,-0.057895177275017036,-0.05581493568802698,-0.1907106072662625,-0.1941155959773692,-0.21332237621569616,-0.1850255241932884,-0.18391602248088382,-0.16309642092955615,-0.09248497826724564,-0.09036654513305009,-0.08082954157344761,-0.07191055316707469,-0.07186448212545567,-0.07156621080322885,-0.10321352286019118,-0.10321670843493684,-0.10686217414831677,-0.10216535858368926,-0.10269248032923801,-0.11080883651035593
4,-0.06856580343648846,-0.06877128398995745,-0.07204690844933523,-0.10394297471892243,-0.10542178993553683,-0.1134881370785056,-0.1423221485502307,-0.13816719128074695,-0.09820597315709152,-0.14161654443151245,-0.14186975638884308,-0.1305675519333955,-0.12057972741334583,-0.11771615393403492,-0.11840570664718966,-0.14893328649099113,-0.14977066245542667,-0.16896841601050927,-0.05369714957722297,-0.05392744052350674,-0.058412948554553756,-0.05452119260306347,-0.054552034004015766,-0.05524306958834253,0.02731913286100547,0.03222704838688551,-0.17243461383886666,-0.13744203885071005,-0.13632228317315148,-0.11785578568495599,-0.06439280010641606,-0.06397268522876579,-0.0769512309718471,-0.0671963077221995,-0.06714952498085591,-0.06684894962682154,-0.07119199525420757,-0.07127887265615812,-0.10095200871814358,-0.06762571815695954,-0.06822494736394476,-0.09354696693106146
5,-0.0671859533098476,-0.06739943696543231,-0.07073320492120796,-0.08725010541931327,-0.08880484503678301,-0.10474960451511386,-0.13143057981651754,-0.12782270401443513,-0.09303483504519197,-0.18034560697892602,-0.18018099077568692,-0.1216779986145569,-0.15324911980567898,-0.14940866793682772,-0.13118685158598176,-0.1429497449500973,-0.14373491486750442,-0.1626012330982473,-0.059476061977306795,-0.05911658358448838,-0.05807369315514047,-0.05491749662352735,-0.0549188805130752,-0.055072532569629414,-0.15979734139612214,-0.16202671324202456,-0.1570048075532318,-0.16833623869237252,-0.16722070838199676,-0.15155998541918664,-0.08668699650507343,-0.08492180786235148,-0.0752327598802807,-0.06591774290127025,-0.06587082427725749,-0.06557144913843366,-0.09518947970604408,-0.09521419471228142,-0.10035374138440739,-0.07994957055347555,-0.08312705251424114,-0.10247721389225288
6,-0.06832792441680983,-0.06852092502971634,-0.07171896163470548,-0.0935672397106033,-0.0950866887409454,-0.11059885480267545,-0.18374902532557127,-0.1775145660968977,-0.11788595570447372,-0.17989484499584982,-0.17975061736841233,-0.14584422156612722,-0.15112091000272596,-0.14733032497510773,-0.15160199880393083,-0.18775342326544628,-0.18893203753085322,-0.21039971609794908,-0.059675783469387324,-0.05952407617478789,-0.058891417973610076,-0.057701904513727,-0.05750053249327043,-0.05625666630128231,-0.23675731087198332,-0.24573429640612413,-0.25370048517654226,-0.1653668888537192,-0.16424095716762252,-0.17373042932673638,-0.09094642711436442,-0.09161279334932884,-0.07929953612353324,-0.07431344641856152,-0.07477357796813235,-0.07476373666371076,-0.10465766745971002,-0.10648106983644953,-0.11256337596853577,-0.09568232281073998,-0.09953659622752027,-0.11950956096194529
7,-0.06731625622130535,-0.06755673729829097,-0.07106546125778036,-0.10129245794258136,-0.10279711718216997,-0.11795516797793884,-0.08121816492223885,-0.08012804258292533,-0.0691362727778393,-0.189382736502559,-0.1892070905813462,-0.08012170783787612,-0.14378624570437348,-0.1402469667498227,-0.11504209526711211,-0.10164491977274724,-0.10206426972039954,-0.11841935234123938,-0.05932350380718249,-0.059196493400104105,-0.05626359132084273,-0.05603200971848527,-0.05595447970755377,-0.05383398497513223,-0.11972774984128408,-0.1204712270611359,-0.06632686007070696,-0.15883317542506137,-0.15773754937832085,-0.1372885522743525,-0.07683521334077006,-0.07567119925265664,-0.06686430244744906,-0.05882281530422226,-0.05877446005392112,-0.058460670524191995,-0.09600864790804843,-0.09603812346285104,-0.08968368347481238,-0.08539423838843212,-0.08596570704462408,-0.08972580755508149
8,-0.11020428523989903,-0.11361846621883132,-0.13130572708018345,-0.13962381246661615,-0.1413776477853251,-0.1559743447673564,-0.3281698521788818,-0.31478540168159835,-0.18668676049937477,-0.24692235335764554,-0.25911119929090004,-0.20876775792339566,-0.1738913298439071,-0.17291647981604855,-0.16409855551360994,-0.3253642588963424,-0.32800746178746465,-0.358802313958799,-0.06152546205051206,-0.06179191292054811,-0.06131953141452761,-0.05909164169655786,-0.059167123191508186,-0.057129831239798534,-0.22440987158678297,-0.24204112338854383,-0.3142144707626208,-0.19133650946577133,-0.19392049444380652,-0.189877713534204,-0.09570198134519181,-0.09642851166524373,-0.09007668142755693,-0.08314239018746494,-0.08312021813047153,-0.08292707541397328,-0.1041551683638115,-0.10601673988797326,-0.11888957140254681,-0.105334200194371,-0.10799163192740718,-0.12510279468620167
9,-0.060358084233968094,-0.06121850342704316,-0.08846625853449908,-0.10618285498223122,-0.10968405903975748,-0.12542212503684375,-0.16883070887908283,-0.1633405723594524,-0.11073104587609046,-0.20365648797373476,-0.20328408387140465,-0.14520685572046446,-0.1417196474698444,-0.13963256858822445,-0.13917701263649707,-0.06499424171860368,-0.057755071325041686,-0.11697875727256726,-0.060904841506788536,-0.06067562552675785,-0.05909765247416847,-0.05823035369439018,-0.057991442830443315,-0.05565673137184168,-0.10432234477187625,-0.10471501203606741,-0.11714532189133062,2.4187535979061368,2.337070057230432,0.9509923246248706,-0.0958785420881196,-0.09355862779001882,-0.08025672783372925,-0.07042388751073962,-0.07037721898799394,-0.07006726689295126,-0.10465317634518102,-0.10532939197123052,-0.11035810518224216,0.29726567403336424,0.2957449074175675,0.27443836522051085
10,0.015897969759829655,0.015165761431228117,0.009079684968108636,-0.12942062216583822,-0.1307965594208214,-0.14420718061116747,-0.2630520324087859,-0.252827513175316,-0.15553397970324578,-0.2240684567457592,-0.22513419431698226,-0.17091530037417133,-0.16997050824422621,-0.16547994262358542,-0.1433689587480686,-0.0035776873245475906,-0.0020432919755343777,0.058550333671765396,-0.05851881000742432,-0.05809772588068407,-0.057470182516693134,0.6312356026156517,0.6197410232417873,0.29883683632606095,-0.21008527146565315,-0.21587017590636878,-0.23139715016437076,-0.18359927353956892,-0.1804158716663999,-0.1224332645742665,-0.11130672531799694,-0.10805872511141744,-0.08871910441785658,-0.07005170052733117,-0.07000804633760953,-0.06970979538255047,-0.11396358163034208,-0.11394255076570436,-0.11828665178142718,-0.0843378630611114,-0.08502857773073765,-0.09387056670778418
